Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,202,History/Lit Crit,Primary,Lecture,0,,,0,,0,0,,,,,,0,,0,,,,0,
English,203,Graduate Readings,Primary,Lecture,,2,2,,21,,,20,18,16,,85.7142857142857,,1,,1,,9,,0
English,203,Graduate Readings,Primary,Lecture,4,,,58,,40,14,,,,68.9655172413793,,0,,15,,10,,0,
English,211,Chaucer,Primary,Lecture,,1,1,,4,,,2,4,4,,100,,0,,0,,4,,1
English,217,Shakespeare,Primary,Lecture,,1,1,,15,,,6,15,12,,100,,0,,0,,15,,1
English,243N,Pr Nonfic Wr Wkshp,Primary,Lecture,,0,0,,15,,,1,0,0,,0,,0,,0,,,,0
English,246C,Graduate Proseminar,Primary,Lecture,,1,1,,5,,,4,5,5,,100,,0,,0,,5,,1
English,246K,Grad Pro-Seminars,Primary,Lecture,,1,1,,7,,,6,7,7,,100,,0,,0,,7,,1
English,246L,Grad Pro-Seminars,Primary,Lecture,0,,,15,,0,0,,,,0,,0,,10,,,,0,
English,250,Research Seminars,Primary,Seminar,,3,3,,26,,,8,23,23,,88.4615384615385,,0,,0,,7.66666666666667,,1
English,250,Research Seminars,Primary,Seminar,4,,,40,,18,6,,,,45,,0,,26,,4.5,,0,
English,310,Field Studies,Primary,Field Work,,1,1,,30,,,0,3,3,,10,,0,,0,,3,,0
English,310,Field Studies,Primary,Field Work,1,,,30,,1,0,,,,3.33333333333333,,0,,0,,1,,0,
English,375,Teaching Comp/Lit,Primary,Lecture,,1,1,,15,,,2,15,15,,100,,0,,0,,15,,1
English,375,Teaching Comp/Lit,Primary,Lecture,1,,,15,,11,3,,,,73.3333333333333,,0,,15,,11,,0,
