Semester,Class,Class Number,Section Number,Title,Author(s),Gender,Number Students
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,The Crucible,['Arthur Miller'],male,17
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,The American Puritans: Their Prose and Poetry,['Perry Miller'],female,17
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,A Mercy,['Toni Morrison'],female,17
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,"Mayflower: A Story of Courage, Community, and War",['Nathaniel Philbrick'],male,17
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,The Sovereignty and Goodness of God,['Mary Rowlandson'],female,17
Spring 2012,"Reading & Composition:  'They did not wear such hats'; or, Puritans in the New World",English R1B,27,The Wordy Shipmates,['Sarah Vowell'],female,17
Spring 2012,Reading & Composition:  Reading California,English R1B,28,The Devil's Punchbowl: A Cultural and Geographical Map of California Today,['Veronique De Turenne'],unknown,17
Spring 2012,Reading & Composition:  Reading California,English R1B,28,The Life and Adventures of Joaquin Murieta,['John Rollin Ridge'],male,17
Spring 2012,Reading & Composition:  The Essay--Evidence and Idea,English R1B,29,The Wasteland,"['Thomas Stearns Eliot', 'Valerie Eliot']",Multiple Authors,16
Spring 2012,Reading & Composition:  The Essay--Evidence and Idea,English R1B,29,Light in August,['William Faulkner'],male,16
Spring 2012,Reading & Composition:  The Essay--Evidence and Idea,English R1B,29,Leaves of Grass,['Walt Whitman'],male,16
Spring 2012,Freshman Seminar:  Bullets Across the Bay--Detective Narratives Set in San Francisco,English 24,1,The Maltese Falcon,['Dashiell Hammett'],male,16
Spring 2012,Freshman Seminar:  Bullets Across the Bay--Detective Narratives Set in San Francisco,English 24,1,Murder Loves Company,['John Mersereau'],unknown,16
Spring 2012,Freshman Seminar:  Bullets Across the Bay--Detective Narratives Set in San Francisco,English 24,1,Dead Midnight,['Marcia Muller'],male,16
Spring 2012,Freshman Seminar:  Reading  Walden Carefully,English 24,2,Walden,['Henry David Thoreau'],male,14
Spring 2012,Introduction to the Writing of Short Fiction,English 43A,1,The Best American Short Stories 2011,"['Geraldine Brooks', 'Heidi Pitlor']",Multiple Authors,13
Spring 2012,Literature in English:  Through Milton,English 45A,2,"The Canterbury Tales, ed. Jill Mann (Penguin)",['Geoffrey Chaucer'],male,49
Spring 2012,Literature in English:  Through Milton,English 45A,2,John Donne's Poetry (Norton edition),"['John Donne', 'Donald R. Dickson']",Multiple Authors,49
Spring 2012,Literature in English:  Through Milton,English 45A,2,Beowulf: A New Verse Translation (Bilingual Edition),['Seamus Heaney'],male,49
Spring 2012,Literature in English:  Through Milton,English 45A,2,"Doctor Faustus, ed. David Scott Kastan (Norton ed.)",['Downing Cless'],male,49
Spring 2012,Literature in English:  Through Milton,English 45A,2,"Paradise Lost, ed. Gordon Teskey (Norton ed.)","['John Milton', 'David Scott Kastan']",Multiple Authors,49
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,Persuasion,['Jane Austen'],female,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,Robinson Crusoe,['Daniel Defoe'],male,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,The Interesting Narrative and Other Writings,['Olaudah Equiano'],male,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,Autobiography,['Eric Gill'],male,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,Billy Budd and Other Tales,['Herman Melville'],male,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,Frankenstein,['Mary Shelley'],female,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,A Sentimental Journey,"['Laurence Sterne', 'Jane Austen']",Multiple Authors,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,1,The Penguin Book of Romantic Poetry,['Jonathan Wordsworth'],male,95
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,Persuasion,['Jane Austen'],female,64
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,Oroonoko and Other Writings,['Aphra Behn'],female,64
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,Robinson Crusoe,['Daniel Defoe'],male,64
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,Classic Slave Narratives,['Henry Louis Gates'],male,64
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,Bartleby and Benito Cereno,['Herman Melville'],male,64
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,The Gold-Bug and Other Tales,['Edgar Allan Poe'],male,64
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,The Sovereignty and Goodness of God,['Mary Rowlandson'],female,64
Spring 2012,Literature in English: Late 17th- Through Mid-19th Centuries,English 45B,2,Gulliver's Travels,['Jonathan Swift'],male,64
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,The Sound and the Fury,['William Faulkner'],male,60
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,The Turn of the Screw,['Henry James'],male,60
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,Passing,['Nella Larsen'],female,60
Spring 2012,Literature in English: Mid-19th Through the 20th Century,English 45C,1,Saturday,['Ian McEwan'],male,60
